Degree Program,Info from HS Counselor,Info from HS Teacher,Info from IT Website,Info from Admissions,Info from Advisor,Info from Employer,Info from Workforce Development,Info from NJ Workforce Program,Info from Other,Gender,Why Interested in Computing,Interest in More Classes,Open House,Instant Decision Day,On-Campus Info Session,Titans Tuesday,Women Who Dare,Regional College Fair,HS Sharetime Info Session,Challenger Program,CyberSecurity Program,HS Info Session,HS Campus Visit,Individual Campus Visit,Workforce Development Class,Corporate Training,Teen Arts Festival,Summer Camp
Computer Science,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Man,,,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Computer Science,No,No,Yes,No,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Liberal Arts,,,,,,,,,,Woman,Im really only taking this class for the requirement. im not super interested or even very good with this kind of stuff,1.0,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
Computer Science,Yes,Yes,No,Yes,No,No,No,No,No,Man,,,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Information Technology,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Man,,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
Information Technology,No,No,Yes,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Academy Student,,,,,,,,,,Prefer not to say,To further my knowledge of computing.,4.0,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No
Computer Science,No,No,No,No,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Man,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
